,month,energy_source_name,generation_mwh_2024,generation_mwh_2025,yoy_growth_mwh,yoy_growth_pct
0,1,Biomass,43385.45769174892,84147.71497075462,40762.2572790057,93.95373345746195
1,1,Hydro,549.2608700499334,593.8726279805935,44.61175793066013,8.122143841523696
2,1,Solar,592.7293599893036,661.9837402323417,69.2543802430381,11.683980062045157
3,1,Total Renewables,214496.4861545735,236246.90557789273,21750.419423319225,10.140221787896856
4,1,Wind,169969.03823278542,150843.3342389253,-19125.70399386011,-11.252463503185805
5,2,Biomass,43158.63800632534,78992.63889507185,35834.000888746516,83.02857213310271
6,2,Hydro,473.4091349359987,499.15123032078156,25.742095384782886,5.437600055660739
7,2,Solar,827.275281101932,1479.8452720363823,652.5699909344503,78.8818433043504
8,2,Total Renewables,194523.76898390762,164037.82878973274,-30485.94019417488,-15.672090024482763
9,2,Wind,150064.44656154438,83066.19339230371,-66998.25316924066,-44.64632010071977
10,3,Biomass,49350.20779560412,81843.13972736371,32492.931931759595,65.84153012351432
11,3,Hydro,469.92149136424706,435.33168645182604,-34.589804912421016,-7.360762499285153
12,3,Solar,1842.0167207058253,4764.813468891647,2922.796748185822,158.67373598356167
13,3,Total Renewables,154969.64219760313,163410.41419976344,8440.772002160316,5.446726134527313
14,3,Wind,103307.49618992893,76367.12931705631,-26940.36687287262,-26.07784320253319
15,4,Biomass,51511.46862126403,79650.29846453866,28138.82984327463,54.62633971895507
16,4,Hydro,490.1310846009733,486.91435612076185,-3.2167284802114295,-0.6562996270334986
17,4,Solar,2571.5456873014714,6196.858338754756,3625.3126514532846,140.97796003996393
18,4,Total Renewables,159000.56014199473,152598.57678712817,-6401.983354866563,-4.026390441108698
19,4,Wind,104427.41474882825,66264.50562771388,-38162.90912111437,-36.54491419988216
20,5,Biomass,59435.69071863169,80956.66733593425,21520.976617302564,36.20884414245773
21,5,Hydro,609.1755906049541,546.9441889207428,-62.23140168421128,-10.215675520158502
22,5,Solar,3446.188994776661,8042.490940053652,4596.301945276991,133.37347290713132
23,5,Total Renewables,137086.62150664607,182429.17720984234,45342.55570319627,33.07584299974744
24,5,Wind,73595.56620263275,92883.07474493358,19287.508542300828,26.207432780931377
25,6,Biomass,57904.44833493464,80191.051170619,22286.60283568436,38.488585033696815
26,6,Hydro,593.9119547134019,615.8434800121478,21.931525298745896,3.6927233278759597
27,6,Solar,3646.8572306150068,8302.331386195441,4655.474155580434,127.65715412432897
28,6,Total Renewables,127508.98628020092,192863.06815587496,65354.08187567405,51.25449098313627
29,6,Wind,65363.76875993786,103753.84211904815,38390.07335911028,58.732955714511924
30,7,Biomass,58156.216157310424,81774.1153612161,23617.899203905676,40.61113456903752
31,7,Hydro,662.3290452323897,640.7897142360908,-21.539330996298872,-3.252058950357737
32,7,Solar,3917.4262834672777,7134.7914089062515,3217.365125438974,82.12956396951812
33,7,Total Renewables,128039.40412912195,165568.6725076323,37529.26837851034,29.310717769870102
34,7,Wind,65303.43264311181,76018.97602327375,10715.543380161937,16.408851642949905
35,8,Biomass,55802.41925990426,79784.85372236658,23982.43446246232,42.97740990540607
36,8,Hydro,560.705646393601,681.2087849193888,120.50313852578779,21.49133672914677
37,8,Solar,3999.640269181347,7688.831062113353,3689.1907929320064,92.23806504196229
38,8,Total Renewables,123229.99673955185,154841.34267233813,31611.34593278628,25.652314184181357
39,8,Wind,62867.23156407267,66686.44910293845,3819.217538865785,6.075052843663613
40,9,Biomass,51996.48794574499,76658.03940723746,24661.55146149247,47.42926385186865
41,9,Hydro,523.6030439220192,528.5104224169839,4.907378494964746,0.9372326138912989
42,9,Solar,2703.636130092285,4938.121194591277,2234.4850644989924,82.64740360688705
43,9,Total Renewables,159867.9811986636,198602.68801530733,38734.70681664374,24.229183684073156
44,9,Wind,104644.25407890428,116478.01699106133,11833.76291215705,11.308564446581183
45,10,Biomass,57352.65747739435,82765.85152204479,25413.194044650438,44.31040367164694
46,10,Hydro,601.7063029907466,471.819520424258,-129.88678256648865,-21.5864088378157
47,10,Solar,1574.4504201005855,2850.5549535893083,1276.1045334887228,81.05079189519334
48,10,Total Renewables,160693.3217125408,251943.60268096684,91250.28096842603,56.78535983695748
49,10,Wind,101164.50751205512,165855.37668490893,64690.86917285381,63.946210745053065
50,11,Biomass,59279.58476128243,81870.9639281097,22591.379166827275,38.10988092747657
51,11,Hydro,425.9961214203759,455.0239442151066,29.027822794730696,6.8141049495814165
52,11,Solar,692.4940365771301,1701.3310559603235,1008.8370193831934,145.68169054129157
53,11,Total Renewables,181391.14388820904,205515.83062851575,24124.6867403067,13.299815097464016
54,11,Wind,120993.06896892916,121488.51170023106,495.44273130189686,0.4094802582692781
55,12,Biomass,59666.72322985513,83364.66549474382,23697.94226488869,39.71718402164755
56,12,Hydro,439.8497137713589,444.59004398131924,4.740330209960348,1.0777158792069714
57,12,Solar,485.7395860911624,1138.0471786752237,652.3075925840612,134.29162688454176
58,12,Total Renewables,227192.0870669841,236941.89277500432,9749.805708020227,4.291437185990393
59,12,Wind,166599.77453726673,151994.59005760401,-14605.184479662712,-8.766629198766218
